¬	negaziun
|	lingia verticala
~	tilda
≥	pli grond che u egual
🤵	persuna, persuna cun smoking, smoking, spus
🤵‍♂	smoking, um, um cun smoking
🤵‍♀	dunna, dunna cun smoking, smoking
👰	maridaglia, nozzas, persuna, persuna cun vel, spusa, vel
👰‍♂	um, um cun vel, vel
👰‍♀	dunna, dunna cun vel, vel
🦰	chavels cotschens
🦱	chavels ritschads
🐵	fatscha, fatscha da schimgia, schimgia
🐒	schimgia
🦍	gorilla, schimgia
🦧	orangutan, schimgia
🐶	animal da chasa, chaun, fatscha, fatscha da chaun
🐕️	animal da chasa, chaun
🐩	chaun, pudel
¤	valuta nunenconuschenta
֏	dram armen
؋	afgani afgan
৳	taka bangladais
฿	baht tailandais
៛	riel cambodschan
₡	colon da la Costa Rica
₦	naira nigeriana
₧	peseta spagnola
₪	nov schekel israelian
₫	dong vietnamais
₭	kip laot
₮	tugrik mongolic
₲	guarani paraguaian
₴	hryvnia ucranaisa
₵	cedi ghanais
₸	tenge kasac
₺	lira tirca
₼	manat aserbaidschan
₾	lari georgian
🏻	colur da pel, pel clera, tip 1–2
🏼	colur da pel, pel mez clera, tip 3
🏽	colur da pel, pel media, tip 4
🏾	colur da pel, pel mez stgira, tip 5
🏿	colur da pel, pel stgira, tip 6
