😀	چىراي, چىشلىق, چىشلىق كۈلگەن چىراي
😃	ئاغزىنى ئېچىپ كۈلۈمسىرەش, ئوچۇق, ئېغىز, كۈلۈش, چىراي
😄	ئاغزىنى ئېچىپ كۈلۈمسىرىگەن چىراي, ئوچۇق, ئېغىز, كۆز, كۈلۈش, چىراي
😁	كۆز, كۈلۈمسىرەش, مۈشۈك, چىراي, چىش, چىشىنى چىقىرىپ كۈلۈمسىرەش
😆	ئوچۇق, ئېغىز, رازى, كۆزىنى يۇمۇپ ئاغزىنى ئېچىپ كۈلۈمسىرەش, كۈلۈش, كۈلۈمسىرەش, چىراي
😅	ئاغزىنى ئېچىپ سوغۇق تەرلەپ كۈلۈمسىرەش, ئوچۇق, تەر, سوغۇق, كۈلۈمسىرەش, چىراي
🤣	ئېغىناش, كۈلۈش, كۈلۈپ يېتىۋېلىش, يەر, چىراي
😂	خۇش, خۇش ياش ئاققان چىراي, كۈل, ياش, چىراي
🙂	ئىللىق خۇش چىراي, كۈلۈمسىرەش, چىراي
🙃	دۈم, دۈم چىراي, چىراي
😉	قىسىش, كۆز قىسىش, چىراي
😊	تەبەسسۇملۇق كۆز ۋە خۇش چىراي, تەڭلىك, كۆز, كۈلۈمسىرەش, چىراي
😇	خۇش سالاملىق چىراي, رىۋايەت, سالام, سەمىمىي, فانتازىيە, كۈلۈمسىرەش, پەرىشتە, چىراي
😍	سۆيگۈ, كۆز, كۈلۈمسىرەش, يۈرەك كۆزلۈك خۇش چىراي, چىراي
🤩	كۆز, يۇلتۇز, يۇلتۇز كۆرۈش, چىراي, چىش
😘	سۆيگۈ ئەۋەتكەن چىراي, سۆيۈش, چىراي
😗	سۆيگەن چىراي, سۆيۈش, چىراي
☺️	ئازادە, ئەركىن, كۈلۈمسىرىگەن چىراي, كۈلۈمسىرەش, چىراي
😚	سۆيۈش, كۆز, كۆزىنى يۇمۇپ سۆيگەن چىراي, يېپىق, چىراي
😙	خۇش كۆزلۈك سۆيگەن چىراي, سۆيۈش, كۆز, كۈلۈمسىرەش, چىراي
😋	تەملىك, شۆلگەي, شۆلگەيلىك چىراي, كۈلۈمسىرەش, پاھ, چىراي, ھىم
😛	تىل, تىلى چىقىپ قالغان چىراي, چىراي
😜	تىل, تىلىنى چىقىرىپ كۆز قىسقان چىراي ئىپادىسى, قىسىش, كۆز, چاقچاق, چىراي
🤪	ساراڭ چىراي, كىچىك, كۆز, چوڭ
😝	تىل, تەم, قورقۇنچلۇق, كۆز, كۆزىنى يۇمۇپ تىلىنى چىقارغان چىراي, چىراي
🤑	ئېغىز, پۇل, پۇل چىراي, چىراي
🤗	قۇچاق, قۇچاقلاش, قۇچاقلىغان چىراي, چىراي
🤭	ئاغزىنى تۇتقان چىراي, ۋارقىراش
🤫	ئۈششش, تىنچ, جىم چىراي
🤔	ئويلاش, ئويچان چىراي, چىراي
🤐	ئېغىز, سىيرتما, سىيرىتما چىراي, چىراي
🤨	ئىشەنمەسلىك, قېشى ئۆرلىگەن چىراي, گۇمان
😐️	ئۆلۈك, نورمال, نورمال چىراي, چىراي
😑	ئىپادىسىز, ئىپادىسىز چىراي, ئىپادىلىك, ئىپادە يوق, چىراي
😶	ئېغىز, ئېغىزسىز چىراي, تىنچ, جىم, چىراي
😏	چىراي, ھېجايغان چىراي, ھېجىيىش
😒	خاپا, مۇز, مۇز چىراي, چىراي
🙄	ئۆرۈش, كۆز, كۆزى پىرقىرىغان چىراي, چىراي
😬	قېيىشقان, چىراي, چىشى قېيىشقان چىراي
🤥	يالغانچى, يالغانچى چىراي, پىنوچىيو, چىراي
😌	خاتىرجەم, خاتىرجەم چىراي, چىراي
😔	ئويغا چۆمگەن چىراي, سۇلغۇن, چىراي, چۆمگەن
😪	ئۇخلاش, ئۇيقۇ چىراي, چىراي
🤤	شۆلگەي, شۆلگەي ئاققان چىراي, چىراي
😴	ئۇخخخ, ئۇخلاش, ئۇخلاق چىراي, چىراي
😷	دوختۇر, دورا, سوغۇق, كېسەل, ماسكا, ماسكىلىق چىراي, چىراي
🤒	ئاغرىق, تېرمومېتىر, تېرمومېتىرلىق چىراي, كېسەل, چىراي
🤕	تېڭىق, تېڭىق چىراي, يارا, يارىدار, چىراي
🤢	قۇسۇش, كۆڭلى ئېلىشقان چىراي, كۆڭلى ئېلىشىش, چىراي
🤮	قۇسقان چىراي, قۇسۇش, كېسەل
🤧	ماڭقا, چىراي, چۈشكۈرگەن چىراي, چۈشكۈرۈش
😵	باش قايغان, باش قايغان چىراي, چىراي
🤯	بېشى پارتلاش, داڭ قاتقان
🤠	قالپاق, يۈز, پادىچى قالپاقلىق چىراي, پادىچى قىز, پادىچى يىگىت
😎	ئەينەك, كۆز, كۆزەينەك, كۆزەينەك تاقىغان خۇش چىراي, كۈلۈمسىرەش, كۈن, كۈن ئەينىكى, يورۇق, پەيزى, چىراي
🤓	ئەخمەق, دۆت, دۆت چىراي, چىراي
🧐	دىمىق, يەكچەشمە چىراي
😕	چىراي, ھاڭۋاققان, ھاڭۋاققان چىراي
😟	ئەنسىرەش, ئەنسىز چىراي, چىراي
🙁	سەل قوشۇمىلىق چىراي, قوشۇما, كۆز
☹️	قوشۇما, قوشۇما تۈرگەن چىراي, كۆز
😮	ئاغزى ئوچۇق چىراي, ئوچۇق, ئىچ ئاغرىتىش, ئېغىز, چىراي
😯	جىم, جىمجىت چىراي, قاتقان, چىراي, ھەيران
😲	قاتقان, پۈتۈنلەي, چىراي, ھەيران, ھەيران چىراي
😳	قىزارغان, قىزارغان چىراي, چىراي, ھاڭۋاققان
😦	ئاغزىنى ئېچىپ قوشۇمىسىنى تۈرگەن چىراي, ئوچۇق, ئېغىز, قوشۇما, چىراي
😧	ئازابلىق, ئازابلىق چىراي, چىراي
😨	قورققان, قورقۇنچ, قورقۇنچلۇق چىراي, چىراي, چۆچۈش
😰	ئاغزى ئوچۇق سوغۇق تەرلىگەن چىراي, ئالدىراش, ئوچۇق, تەر, سوغۇق, كۆك, چىراي
😥	ئۈمىدسىز, ئۈمىدسىز ئەمما خاتىرجەم چىراي, ئەركىن, چىراي, ھەي
😢	غەمكىن, ياش, يىغا, يىغلىغان چىراي, چىراي
