‾	барзиёд
‽	interrobang
‸	карате
⁂	астеризм
😀	рӯи хандон, рӯй, фарох табассум кардан
😃	даҳон, кушода, рӯи хандон бо даҳони кушода, рӯй, табассум
😄	даҳон, кушода, рӯи хандон бо даҳони кушода ва чашмони хандон, рӯй, табассум, чашм
😁	рӯй, табассум кардан, фарох табассум кардан, чашм, чеҳраи писхандкунанда бо чашмони табассумкунанда
😆	даҳон, кушода, рӯи хандон бо даҳони кушода ва чашмони пӯшида, рӯй, табассум, ханда, қонеъ
😅	арақ, кушода, рӯи хандон бо даҳони кушода ва арақи хунук, рӯй, табассум, хунук
🤣	аз ханда рӯдакан шудан, даврзананда, рӯй, фарш, хандидан
😂	ашк, рӯи бо ашкҳои хурсандӣ, рӯй, хандидан, хурсандӣ
🙂	рӯй, табассум, тӯи каме хандон
🙃	Рӯй, рӯи сарчаппа, сарчаппа
😉	рӯи чашмакзананда, рӯй, чашмакзанӣ
😊	рӯи хандон бо чашмони хандон, рӯй, табассум, хиҷолат, чашм
😇	афсона, бегуноҳ, малоика, рӯи хандон бо ҳола, рӯй, табассум, тахайюлот, ҳола
😍	муҳаббат, рӯи хандон бо чашмони дилмонанд, рӯй, табассум, чашм
🤩	дарди ситорашавӣ, писханда, рӯй, ситора, чашмҳо
😘	бӯса, рӯи бӯсаи ҳавоӣ равонкунанда, рӯй
😗	бӯса, рӯи бӯсакунанда, рӯй
☺️	ором, рӯи табассумкунанда, рӯй, табассум, хаткашида
😚	бӯса, пӯшида, рӯи бӯсакунанда бо чашмони пӯшида, рӯй, чашм
😙	бӯса, рӯи бӯсакунанда бо чашмони хандон, рӯй, табассум, чашм
😋	бомаза, маза карда хӯрдан, ммм, ням, рӯе, ки ғизои бомазаро маза карда хӯрда истодааст, рӯй, табассум
😛	забон, рӯй, рӯй бо забони баровардашуда
😜	забон, рӯй, рӯй бо забони баровардашуда ва чашми чашмакизананда, чашм, чашмакизанӣ, шӯхӣ
🤪	калон, рӯи девона, хурд, чашм
😝	даҳшатнок, забон, маза, рӯй, рӯй бо забони баровардашуда ва чашмони пӯшида, чашм
🤑	даҳон, пул, рӯи дорои даҳони пулӣ, рӯй
🤗	оғӯш кардан, оғӯшкунанда, рӯи оғӯшкунанда, рӯй
🤭	рӯй бо даст дар болои даҳон, ҳоп
🤫	ором кардан, рӯи хомӯшкунанда, хомӯш
🤔	андешакунӣ, рӯи аднешакунанда, рӯй
🤐	даҳон, занҷирак, рӯи дорои даҳони заҷиракдор, рӯй
🤨	нобоварӣ, рӯе, ки қошҳояш бардошта шудааст, шаккок
😐️	нейтралӣ, рӯи карахт, рӯи нейтралӣ, рӯй
